sample_id	genotype_id	rep	image	pixels_cm	date_of_photo	nod_count	nod_total_area_cm2	avg_size	processing_notes
845A	845	A	img_0056	538.7281	10-May	324	1.579	0.005	
854A	854	A	img_0036	537.0972	10-May	105	4.177	0.018	double check count - too high 226; 105 manul
855A	855	A	img_0041	538.0581	10-May	125	2.671	0.021	
860A	860	A			10-May	284	1.47	0.005	
869A	869	A			10-May	150	3.716	0.025	
884A	884	A			10-May	84	1.745	0.012	151 by macro and 84 by manual
885A	885	A	img_0042	542.2013	10-May	348	1.45	0.004	
886A	886	A	img_0046	542.0009	10-May	74	3.126	0.042	
887A	887	A	Img_0037	536.7308	10-May	83	2.2	0.027	
891A	891	A	img_0059	541.6601	10-May	241	1.872	0.008	
892A	892	A			10-May	244	1.684	0.007	
893A	893	A			10-May	209	1.653	0.008	
894A	894	A			10-May	337	1.653	0.005	
854B	854	B			11-May	330	1.926	0.006	
855B	855	B			11-May	161	5.276	0.033	
856B	856	B			11-May	301	3.908	0.013	
857B	857	B	Img_0087	470.017	11-May	161	3.628	0.023	
859B	859	B			11-May	76	3.634	0.011	double check count - too high (321!)
860B	860	B	Img_0074	464.7634	11-May	276	1.972	0.007	
869B	869	B			11-May	120	4.665	0.039	
883B	883	B	img_0063		11-May	115	2.516	0.01	double check count - too high (242)
884B	884	B			11-May	124	2.223	0.018	
885B	885	B	img_0068	467.1317	11-May	77	2.567	0.033	
886B	886	B			11-May	74	1.882	0.025	
887B	887	B	Img_0085	467.2408	11-May	145	3.731	0.026	
892B	892	B			11-May	314	2.108	0.007	
893B	893	B	Img_0076	468.2734	11-May	245	2.213	0.009	
894B	894	B			11-May	342	2.025	0.006	
845C	845	C	img_0108	504	12-May	99	1.881	0.019	
854C	854	C			12-May	83	2.933	0.035	
856C	856	C			12-May	155	1.753	0.011	
857C	857	C			12-May	193	3.841	0.02	
859C	859	C	img_0090	504.0357	12-May	107	2.167	0.005	"a mess! --- 412, 107 manual"
860C	860	C			12-May	290	2.05	0.007	
869C	869	C			12-May	110	4.165	0.038	
883C	883	C	img_0106	506.6172	12-May	159	4.329	0.027	
884C	884	C			12-May	97	4.674	0.048	
885C	885	C			12-May	140	3.366	0.024	
886C	886	C			12-May	162	3.281	0.02	
887C	887	C			12-May	106	2.744	0.026	
891C	891	C			12-May	239	2.061	0.009	
892C	892	C	Img_0112	502.0359	12-May	179	1.604	0.009	
893C	893	C			12-May	406	3.472	0.009	
894C	894	C	img_0097	505.5022	12-May	365	2.301	0.006	
854D	854	D			13-May	96	4.534	0.047	
858D	858	D	img_0120	504.5711	13-May	339	5.386	0.016	
860D	860	D			13-May	249	1.631	0.007	
869D	869	D			13-May	106	4.116	0.039	
883D	883	D	img_0119	506.0459	13-May	182	3.9	0.021	
884D	884	D			13-May	102	3.487	0.034	
885D	885	D	img_0138	504.0357	13-May	97	2.65	0.027	
886D	886	D	img_0128	506.2475	13-May	60	1.454	0.024	
887D	887	D			13-May	100	4.571	0.046	
845E	845	E	img_0157	537.643	14-May	219	3.564	0.016	
855E	855	E	img_0168	538.0595	14-May	174	6.668	0.038	
860E	860	E	img_0171	534.0084	14-May	415	2.881	0.007	
883E	883	E	img_0166	536.0457	14-May	153	2.878	0.019	
885E	885	E	img_0169	535.9586	14-May	69	2.866	0.042	
886E	886	E	img_0165	534.0833	14-May	177	3.989	0.023	
841E	841	E	img_0175	499.0251	15-May	157	4.478	0.029	
869E	869	E	img_0144	507.001	14-May	102	3.998	0.039	
884E	884	E	img_0147	503.647	14-May	190	3.942	0.021	
